year_month,year,month,source,count
2021-03,2021,3,sunrun,251
2021-03,2021,3,titan,1213
2021-04,2021,4,freedom_forever,111
2021-04,2021,4,records,93
2021-04,2021,4,solarcity,14
2021-04,2021,4,sullivan,68
2021-04,2021,4,sunrun,270
2021-04,2021,4,titan,1134
2021-05,2021,5,freedom_forever,100
2021-05,2021,5,records,90
2021-05,2021,5,solarcity,6
2021-05,2021,5,sullivan,74
2021-05,2021,5,sunrun,313
2021-05,2021,5,titan,1174
2021-06,2021,6,freedom_forever,123
2021-06,2021,6,records,118
2021-06,2021,6,solarcity,13
2021-06,2021,6,sullivan,70
2021-06,2021,6,sunrun,342
2021-06,2021,6,titan,1339
2021-07,2021,7,freedom_forever,109
2021-07,2021,7,records,88
2021-07,2021,7,solarcity,16
2021-07,2021,7,sullivan,89
2021-07,2021,7,sunrun,398
2021-07,2021,7,titan,1589
2021-08,2021,8,freedom_forever,175
2021-08,2021,8,records,165
2021-08,2021,8,solarcity,10
2021-08,2021,8,sullivan,59
2021-08,2021,8,sunrun,473
2021-08,2021,8,titan,1542
2021-09,2021,9,freedom_forever,160
2021-09,2021,9,records,192
2021-09,2021,9,solarcity,9
2021-09,2021,9,sullivan,69
2021-09,2021,9,sunrun,521
2021-09,2021,9,titan,1616
2021-10,2021,10,freedom_forever,195
2021-10,2021,10,records,149
2021-10,2021,10,solarcity,6
2021-10,2021,10,sullivan,40
2021-10,2021,10,sunrun,520
2021-10,2021,10,titan,1453
2021-11,2021,11,freedom_forever,201
2021-11,2021,11,records,151
2021-11,2021,11,solarcity,9
2021-11,2021,11,sullivan,9
2021-11,2021,11,sunrun,629
2021-11,2021,11,titan,1559
2021-12,2021,12,freedom_forever,156
2021-12,2021,12,records,111
2021-12,2021,12,solarcity,5
2021-12,2021,12,sullivan,11
2021-12,2021,12,sunrun,643
2021-12,2021,12,titan,1681
2022-01,2022,1,freedom_forever,143
2022-01,2022,1,records,127
2022-01,2022,1,solarcity,7
2022-01,2022,1,sullivan,13
2022-01,2022,1,sunrun,617
2022-01,2022,1,titan,1421
2022-02,2022,2,freedom_forever,159
2022-02,2022,2,records,167
2022-02,2022,2,solarcity,2
2022-02,2022,2,sullivan,13
2022-02,2022,2,sunrun,631
2022-02,2022,2,titan,1236
2022-03,2022,3,freedom_forever,147
2022-03,2022,3,records,169
2022-03,2022,3,solarcity,4
2022-03,2022,3,sullivan,10
2022-03,2022,3,sunrun,956
2022-03,2022,3,titan,1534
2022-04,2022,4,freedom_forever,185
2022-04,2022,4,records,112
2022-04,2022,4,solarcity,1
2022-04,2022,4,sullivan,19
2022-04,2022,4,sunrun,1217
2022-04,2022,4,titan,1427
2022-05,2022,5,freedom_forever,189
2022-05,2022,5,records,133
2022-05,2022,5,solarcity,4
2022-05,2022,5,sullivan,9
2022-05,2022,5,sunrun,1249
2022-05,2022,5,titan,1561
2022-06,2022,6,freedom_forever,257
2022-06,2022,6,records,203
2022-06,2022,6,solarcity,4
2022-06,2022,6,sullivan,9
2022-06,2022,6,sunrun,1430
2022-06,2022,6,titan,1722
2022-07,2022,7,freedom_forever,230
2022-07,2022,7,records,175
2022-07,2022,7,solarcity,3
2022-07,2022,7,sullivan,4
2022-07,2022,7,sunrun,1464
2022-07,2022,7,titan,1444
2022-08,2022,8,freedom_forever,305
2022-08,2022,8,records,186
2022-08,2022,8,solarcity,4
2022-08,2022,8,sullivan,8
2022-08,2022,8,sunrun,1744
2022-08,2022,8,titan,1480
2022-09,2022,9,freedom_forever,297
2022-09,2022,9,records,145
2022-09,2022,9,solarcity,2
2022-09,2022,9,sullivan,16
2022-09,2022,9,sunrun,1669
2022-09,2022,9,titan,1404
2022-10,2022,10,freedom_forever,282
2022-10,2022,10,records,182
2022-10,2022,10,solarcity,6
2022-10,2022,10,sullivan,9
2022-10,2022,10,sunrun,1750
2022-10,2022,10,titan,1501
2022-11,2022,11,freedom_forever,354
2022-11,2022,11,records,156
2022-11,2022,11,solarcity,5
2022-11,2022,11,sullivan,6
2022-11,2022,11,sunrun,1757
2022-11,2022,11,titan,1090
2022-12,2022,12,freedom_forever,318
2022-12,2022,12,records,140
2022-12,2022,12,solarcity,2
2022-12,2022,12,sullivan,8
2022-12,2022,12,sunrun,1642
2022-12,2022,12,titan,1065
2023-01,2023,1,freedom_forever,308
2023-01,2023,1,records,295
2023-01,2023,1,sullivan,4
2023-01,2023,1,sunrun,1448
2023-01,2023,1,titan,879
2023-02,2023,2,freedom_forever,210
2023-02,2023,2,records,268
2023-02,2023,2,solarcity,1
2023-02,2023,2,sullivan,7
2023-02,2023,2,sunrun,1262
2023-02,2023,2,titan,869
2023-03,2023,3,freedom_forever,298
2023-03,2023,3,records,599
2023-03,2023,3,sullivan,1
2023-03,2023,3,sunrun,1615
2023-03,2023,3,titan,1026
2023-04,2023,4,freedom_forever,259
2023-04,2023,4,records,755
2023-04,2023,4,sullivan,12
2023-04,2023,4,sunrun,1464
2023-04,2023,4,titan,1108
2023-05,2023,5,freedom_forever,312
2023-05,2023,5,records,592
2023-05,2023,5,sullivan,11
2023-05,2023,5,sunrun,1495
2023-05,2023,5,titan,1079
2023-06,2023,6,freedom_forever,359
2023-06,2023,6,records,343
2023-06,2023,6,sullivan,10
2023-06,2023,6,sunrun,1284
2023-06,2023,6,titan,898
2023-07,2023,7,freedom_forever,350
2023-07,2023,7,records,274
2023-07,2023,7,sullivan,4
2023-07,2023,7,sunrun,1134
2023-07,2023,7,titan,802
2023-08,2023,8,freedom_forever,395
2023-08,2023,8,records,312
2023-08,2023,8,sunrun,1128
2023-09,2023,9,freedom_forever,334
2023-09,2023,9,records,237
2023-09,2023,9,sunrun,978
2023-10,2023,10,freedom_forever,324
2023-10,2023,10,records,285
2023-10,2023,10,sunrun,1080
2023-11,2023,11,freedom_forever,265
